,Year,Reciever,Grant size (DKK),Description,Institution,Grant Number,Project Category
0,"År
2024",Jesper Qualmann Svejstrup,"Beløb
DKK 1,500,000",Forskningspris 2024 - Forskningsbevilling,Institution,001,Strategic Grants
1,"År
2024",Jesper Qualmann Svejstrup,"Beløb
DKK 500,000",Forskningspris 2024 - Personlig bevilling,Institution,002,Strategic Grants
2,"År
2024",Rubina Raja,"Beløb
DKK 1,500,000",Forskningspris 2024 - Forskningsbevilling,Institution,003,Strategic Grants
3,"År
2024",Rubina Raja,"Beløb
DKK 500,000",Forskningspris 2024 - Personlig bevilling,Institution,004,Strategic Grants
4,"År
2024",Irina Hron,"Beløb
DKK 76,000",Skin Manuscripts,"Institution
University of Copenhagen",005,Conferences
5,"År
2024",Mark de Vos,"Beløb
DKK 5,000,000",Fellowships for Scholars At Risk from Ukrainian Universities (SARU),"Institution
University of Copenhagen",006,Strategic Grants
6,"År
2024",Michael Kirkedal Thomsen,"Beløb
DKK 51,400",Nordic Workshop on Programming Theory 2024,"Institution
University of Copenhagen",007,Conferences
7,"År
2024",Martin Axel Blufstein Garcia,"Beløb
DKK 80,000",Young Geometric Group Theory XIII,"Institution
University of Copenhagen",008,Conferences
8,"År
2024",Jonas Elm,"Beløb
DKK 44,322",Nordic Society for Aerosol Research (NOSA) Symposium,"Institution
Aarhus University",009,Conferences
9,"År
2024",Morten Meldal,"Beløb
DKK 77,800",Chemical Solutions to Structural Biology symposium (CSSB),"Institution
University of Copenhagen",010,Conferences
10,"År
2024",Kim Rewitz,"Beløb
DKK 80,000","International Insect Hormone Workshop (IIHW) in Copenhagen, 2025","Institution
University of Copenhagen",011,Conferences
11,"År
2024",John R. Hopper,"Beløb
DKK 80,000",Inge Lehmann Symposium: Illuminating Earth's Interior,"Institution
University of Copenhagen",012,Conferences
12,"År
2024",Bryan Yazell,"Beløb
DKK 73,900",Narratives for Change: Exploring Climate Fiction and Eco-Literacy in Action,"Institution
University of Southern Denmark",013,Conferences
13,"År
2024",Friedolin Merhout,"Beløb
DKK 99,220",Silicon Sampling for Social Science Experiments (S4E),"Institution
University of Copenhagen",014,"Field Trips / Research Stays < 100,000"
14,"År
2024",Christina Lubinski,"Beløb
DKK 60,420",Entrepreneurialism and Social Inequality in Comparative Perspective,"Institution
Copenhagen Business School",015,"Field Trips / Research Stays < 100,000"
15,"År
2024",Laura Skouvig,"Beløb
DKK 25,000",Building the state with information 1660-1848,"Institution
University of Copenhagen",016,"Field Trips / Research Stays < 100,000"
16,"År
2024",Christophe HELMKE,"Beløb
DKK 74,450","Archaeological Expedition to Lamanai, Belize","Institution
University of Copenhagen",017,"Field Trips / Research Stays < 100,000"
17,"År
2024",Oliver Krancher,"Beløb
DKK 96,500","Knowledge Overlap, Iterative Development, and Machine Learning Project Success","Institution
IT University of Denmark",018,"Field Trips / Research Stays < 100,000"
18,"År
2024",Lucía López Zurita,"Beløb
DKK 79,752",EU law and its disconnections from society,"Institution
University of Copenhagen",019,Conferences
19,"År
2024",Olympia Bobou,"Beløb
DKK 80,000",Carving the Individual,"Institution
Aarhus University",020,Conferences
20,"År
2024",Selma Kadic-Maglajlic,"Beløb
DKK 86,400",Advancing Sales Research in Denmark through International Collaboration,"Institution
Copenhagen Business School",021,"Field Trips / Research Stays < 100,000"
21,"År
2024",Christian D. Pedersen,"Beløb
DKK 66,200",Talking Empire – Prime Ministers and the National Image in Post-Imperial Britain,"Institution
University of Southern Denmark",022,"Field Trips / Research Stays < 100,000"
22,"År
2024",Holger Schulze,"Beløb
DKK 79,936",How to Study Sound?,"Institution
University of Copenhagen",023,Conferences
23,"År
2024",Anne Mette Thorhauge,"Beløb
DKK 79,976",The Economic lives of platforms,"Institution
University of Copenhagen",024,Conferences
24,"År
2024",Louise Mønster,"Beløb
DKK 124,732",Seek no truth here. Henrik Nordbrandt's oeuvre,"Institution
Aalborg University",025,Publication
25,"År
2024",Birte Poulsen,"Beløb
DKK 75,650",Contextualising the past in the Alban Hills (Colli Albani),"Institution
Aarhus University",026,Conferences
26,"År
2024",Mette Thunø,"Beløb
DKK 95,400",Constructing China as an Emigration State,"Institution
Aarhus University",027,"Field Trips / Research Stays < 100,000"
27,"År
2024",Julie Laursen,"Beløb
DKK 56,730",Pockets of Punitiveness in the Welfare State,"Institution
University of Copenhagen",028,Conferences
28,"År
2024",Natalie Koerner,"Beløb
DKK 78,000",Building Early Modern Privacy Conference,"Institution
University of Copenhagen",029,Conferences
29,"År
2024",Morten Tønsberg Limborg,"Beløb
DKK 60,000",Uncovering hidden microbes from the salmon gut,"Institution
University of Copenhagen",030,"Field Trips / Research Stays < 100,000"
30,"År
2024",David Alejandro Duchene Garzon,"Beløb
DKK 98,740",Decolouring the planet: how animal communication is shaped by tree plantations,"Institution
University of Copenhagen",031,"Field Trips / Research Stays < 100,000"
31,"År
2024",Signe Barfoed,"Beløb
DKK 250,000",Rediscovering Artemis,Institution,032,Publication
32,"År
2024",Daniel Russo,"Beløb
DKK 80,000",The 2nd Copenhagen Symposium on Human-Centered Software Engineering AI,"Institution
Aalborg University",033,Conferences
33,"År
2024",Mads Bertelsen,"Beløb
DKK 80,000",European Spallation Source Data Management and Software Centre Summer School,"Institution
European Spallation Source Data Management and Software Centre",034,Conferences
34,"År
2024",Daniel Murnane,"Beløb
DKK 79,850",HAMLET-PHYSICS International Workshop 2024,"Institution
University of Copenhagen",035,Conferences
35,"År
2024",Kristoffer Szilas,"Beløb
DKK 95,000",Revisiting the oldest evidence for life on Earth,"Institution
University of Copenhagen",036,"Field Trips / Research Stays < 100,000"
36,"År
2024",Dorte Juul Jensen,"Beløb
DKK 50,000","44th Risø International Symposium on Materials Science: “Metal Microstructures and Additive Manufacturing""","Institution
Technical University of Denmark",037,Conferences
37,"År
2024",Katarzyna Stoklosa,"Beløb
DKK 89,000",A Resilient Europe - Learning from Borderlanders,"Institution
University of Southern Denmark",038,"Field Trips / Research Stays < 100,000"
38,"År
2024",Mikhail Suslov,"Beløb
DKK 100,000",Geopolitical ideology of the Russian emigration in the interwar period,"Institution
University of Copenhagen",039,"Field Trips / Research Stays < 100,000"
39,"År
2024",Eelco Glas,"Beløb
DKK 42,300",Home and Displacement: Perspectives from the Ancient Mediterranean and West Asia (6th Century BCE-2nd Century CE),"Institution
Aarhus University",040,Conferences
40,"År
2024",Alexander Josiassen,"Beløb
DKK 99,000",Challenging Party and Sex Tourism Images: Case Studies from Manila and Bali,"Institution
Copenhagen Business School",041,"Field Trips / Research Stays < 100,000"
41,"År
2024",Poul Poder,"Beløb
DKK 81,000",Contemporary love and intimacy,"Institution
University of Copenhagen",042,"Field Trips / Research Stays < 100,000"
42,"År
2024",Iryna MARCHUK,"Beløb
DKK 80,000",Easternisation: Regionalisation of International Law and Global Reordering,"Institution
University of Copenhagen",043,Conferences
43,"År
2024",Sarah Scott Ford,"Beløb
DKK 79,400",Expert Roundtable Workshop on Rethinking Mobility Law,"Institution
University of Copenhagen",044,Conferences
44,"År
2024",Efram Sera-Shriar,"Beløb
DKK 79,956","Otherworldly Entertainment: A Cultural Study of Horror, Magic and the Occult in Videogames","Institution
University of Copenhagen",045,Conferences
45,"År
2024",Lian Malai Madsen,"Beløb
DKK 80,000","10th Explorations in Ethnography, Language and Communication","Institution
University of Copenhagen",046,Conferences
46,"År
2024",Stine Haakonsson,"Beløb
DKK 95,000",Research stay and fieldwork at Stanford University Autumn 2024,"Institution
Copenhagen Business School",047,"Field Trips / Research Stays < 100,000"
47,"År
2024",Caroline Bertram,"Beløb
DKK 1,060,000",Greening Through Trade: Exploring Trade Partners' Perceptions and Perspectives on EU Unilateral Trade-Climate Policies,"Institution
University of Cambridge",048,Internationalisation Fellowships
48,"År
2024",Valeria Dessy,"Beløb
DKK 900,000",Being a monk in the midst of the world: An Analysis of Ascetism in Twentieth-Century Catholicism and Protestantism in the thought of Ernesto Buonaiuti and Adolf von Harnack,"Institution
Lund University",049,Internationalisation Fellowships
49,"År
2024",Søren Frank Jensen,"Beløb
DKK 450,000","Mines, Oceans, Comets. Natural Hazards between Individual Agency and Communal Responsibility in Religious Texts (1550–1650)","Institution
Universität Hamburg",050,Internationalisation Fellowships
50,"År
2024",Christian Anker Rosiek,"Beløb
DKK 900,000",Macroscopic quantum mechanics through laser-induced nonlinearity,"Institution
AMOLF, Netherlands",051,Internationalisation Fellowships
51,"År
2024",Mads Jørgensen Hansen,"Beløb
DKK 900,000",Revisiting Causation: The Role of Goal-Directed Transitions in Biology,"Institution
Bristol University",052,Internationalisation Fellowships
52,"År
2024",Frederik Ravn Klausen,"Beløb
DKK 1,020,000",Fluctuating Random Surfaces in Magnetic Systems,"Institution
Princeton University, University of Cambridge",053,Internationalisation Fellowships
53,"År
2024",Helene Borregaard Stephensen,"Beløb
DKK 1,020,000",Psychosis between alienation and institution: Rethinking the spaces of care,"Institution
École normale supérieure, Paris, France",054,Internationalisation Fellowships
54,"År
2024",Daniel Damgaard,"Beløb
DKK 450,000","The Forum of Ostia. The political and religous centre, 27 BCE - 117 CE","Institution
German Archaeological Institute in Rome",055,Internationalisation Fellowships
55,"År
2024",Rasmus Harsbo,"Beløb
DKK 900,000",Negotiating Neo-nationalist University Imaginaries and Geopolitical Class Cleavages in Denmark and Poland,"Institution
Adam Mickiewicz University, Poland",056,Internationalisation Fellowships
56,"År
2024",Jonathan Ditlevsen,"Beløb
DKK 1,020,000",Symmetry breaking in higher rank,"Institution
University of Tokyo",057,Internationalisation Fellowships
57,"År
2024",Anders Andersen,"Beløb
DKK 550,000",Rethinking Mood: A Radically New Approach to Romance Mood,"Institution
The university in Turin",058,Internationalisation Fellowships
58,"År
2024",Victor Lange,"Beløb
DKK 1,000,000",Rumination: The attention pattern of depression?,"Institution
University of Oslo",059,Internationalisation Fellowships
59,"År
2024",Nicolai Waldstrøm,"Beløb
DKK 1,020,000",Redistributive Automation and Inequality,"Institution
University of Zurich",060,Internationalisation Fellowships
60,"År
2024",Mads Bjerregaard Kristensen,"Beløb
DKK 900,000",QuRAM-Mech: Quantum RAM with Mechanical Oscillators,"Institution
Chalmers University of Technology",061,Internationalisation Fellowships
61,"År
2024",Moisès Coll Macià,"Beløb
DKK 1,100,000",Localizing ancient samples in space and time from genetics with Machine Learning methods,"Institution
Evolutionary Biology Institute (IBE), Spanish National Research Council (CSIC) and Pompeu Fabra University (UPF).",062,Internationalisation Fellowships
62,"År
2024",Mads Ejsing,"Beløb
DKK 1,020,000",Democratic innovations and social tipping points: Can citizens’ assemblies create systemic change?,"Institution
Stockholm Resilience Centre at Stockholm University",063,Internationalisation Fellowships
63,"År
2024",Lauritz Munch,"Beløb
DKK 1,220,000",Understanding Informed Consent,"Institution
London School Of Economics, UK",064,Internationalisation Fellowships
64,"År
2024",Oda-Kange Midtvåge Diallo,"Beløb
DKK 900,000","Joining in black study: Theories, practices, pedagogies across Europe","Institution
Erasmus University Rotterdam",065,Internationalisation Fellowships
65,"År
2024",Anne-Sofie Dichman,"Beløb
DKK 1,000,000",Vibrant Energy: On the Entanglements of Nuclear Power and Gender Identities (VIBE),"Institution
École des Hautes Études en Sciences Sociales (EHESS), Paris",066,Internationalisation Fellowships
66,"År
2024",René Tronsgaard,"Beløb
DKK 1,220,000",Unearthing Earth-like Worlds: The Terra Hunting Experiment,"Institution
University of Cambridge, United Kingdom",067,Internationalisation Fellowships
67,"År
2024",Maiken Skovrider Aaskoven,"Beløb
DKK 450,000",The Domino Effect: Parental Health Shocks and Children’s Health Outcomes,"Institution
Monash Business School, Monash University",068,Internationalisation Fellowships
68,"År
2024",Rasmus Nielsen,"Beløb
DKK 1,120,000",HIGHLIGHT - HIGH-throughput engineering of semiconductors for optimized LIGHT and energy technologies,"Institution
EMPA - Swiss Federal Laboratories for Materials Science and Technology",069,Internationalisation Fellowships
69,"År
2024",Sofie Mortensen,"Beløb
DKK 1,120,000",Challenges to Equitable Climate Change Adaptation: Resilient Seed Production in Thailand,"Institution
University of Copenhagen",070,Internationalisation Fellowships
70,"År
2024",Gustav Bøg Petersen,"Beløb
DKK 1,020,000",OceanSpeak: Enhancing Ocean Literacy through Immersive Conversations with Artificially Intelligent Marine Wildlife,"Institution
Stanford University",071,Internationalisation Fellowships
71,"År
2024",Leonid Digel,"Beløb
DKK 1,120,000",Quantum theft: extracellular electron transfer in cyanobacteria,"Institution
The University of Cambridge",072,Internationalisation Fellowships
72,"År
2024",Isabella Nymann Westensee,"Beløb
DKK 1,120,000",Developing Protein-based Biosensors for Environmental Analysis using Evolutionary Methods,"Institution
Queensland University of Technology",073,Internationalisation Fellowships
73,"År
2024",Linnea Worsøe Havmøller,"Beløb
DKK 1,100,000",Carnivores and Connectivity: Studying Movement of an Endangered Canid in a Human-Dominated Landscape,"Institution
Max Planck Institute of Animal Behaviour, Konstanz, Germany",074,Internationalisation Fellowships
74,"År
2024",Karin Kjær Madsen,"Beløb
DKK 2,980,750",Formidlingsakademiet: Forankring 2025-2027,"Institution
Videnskabernes Selskab",075,Strategic Grants
75,"År
2024",Søren Bjørn-Hansen,"Beløb
DKK 1,785,700","Dagen efter i overmorgen: En engagerende podcast om, hvordan fremtiden ser ud, hvis vi lykkes med at omstille vores verden","Institution
Klimajournalisterne",076,Science Communication
76,"År
2024",Rune Geertsen,"Beløb
DKK 1,013,000",Jagten på bevidstheden,"Institution
None",077,Science Communication
77,"År
2024",Jens Holbech,"Beløb
DKK 6,000,000","2025-2027: Livestreaming af foredrag til biografer, kulturhuse, skoler, biblioteker, folkeuniversiteter og foreninger mv. i Danmark, Grønland, Færøerne og Sydslesvig","Institution
Aarhus University",078,Strategic Grants
78,"År
2024",Teddy Bruslund,"Beløb
DKK 2,557,996",Den arabiske ekspedition,"Institution
Saxofilm",079,Strategic Grants
79,"År
2024","Vibeke Hjortlund, Videnskab.dk","Beløb
DKK 1,431,885",Oldtid for altid? Tema om dansk forskning i oldtidssprog og -kultur,"Institution
Videnskab.dk",080,Science Communication
80,"År
2024",Hans Erik Havsteen,"Beløb
DKK 1,600,000",Kulturens vugge,"Institution
None",081,Science Communication
81,"År
2024",Cecilie Waagner Falkenstrøm,"Beløb
DKK 1,661,000",The evolving universe in our eyes of imagination,"Institution
ARTificial Mind",082,Science Communication
82,"År
2024",Ulrik Gutkin,"Beløb
DKK 2,997,040","Kvanterevolutionen - kvantevidenskab, der er til at forstå","Institution
CFC Kort & Dok",083,Science Communication
83,"År
2024",Cathrine la Cour,"Beløb
DKK 1,944,750",Future of Work,"Institution
None",084,Science Communication
84,"År
2024",Svante Lindeburg,"Beløb
DKK 250,000",’Ni til fem – 24/7’ – en videnskabelig samtalerække og podcastserie om arbejdets paradokser under Golden Days,"Institution
ADBC, Golden Days",085,Science Communication
85,"År
2024",Mie Brandstrup Nielsen,"Beløb
DKK 315,000",Hjertets Veje - en videnskabelig podcastserie om kroppens vildeste organ,"Institution
None",086,Science Communication
86,"År
2024",Sune Halkjær,"Beløb
DKK 450,000",Science Faction as a podcast,"Institution
University of Copenhagen",087,Science Communication
87,"År
2024",Marius Renner Christensen,"Beløb
DKK 709,970",Hvem lægger landet?,"Institution
None",088,Science Communication
88,"År
2024",Martin Krasnik,"Beløb
DKK 587,400",HELT IND I SINDET,"Institution
Weekendavisen",089,Science Communication
89,"År
2024",Alexander Rathcke,"Beløb
DKK 200,000",A Universe with Life,"Institution
Technical University of Denmark",090,Carlsberg Mindelegat
90,"År
2024",Sine Zambach,"Beløb
DKK 198,750",Kunstige kompositioner - hvad sker der med det autentiske og det auratiske når AI interagerer med original kunst?,"Institution
Copenhagen Business School",091,Carlsberg Mindelegat
91,"År
2024",Valentina Melli,"Beløb
DKK 141,450",AquaVRium: dive into fishing gears with Virtual Reality,"Institution
Technical University of Denmark",092,Carlsberg Mindelegat
92,"År
2024",Maja Bar Rasmussen,"Beløb
DKK 61,000","”CCS for begyndere” - a podcast for the Danish public about CO2 capture, storage, and research from a Danish perspective","Institution
University of Copenhagen",093,Carlsberg Mindelegat
93,"År
2024",Klaus Nielsen,"Beløb
DKK 200,000",Patientstemmer fra asylet,"Institution
Aarhus University",094,Carlsberg Mindelegat
94,"År
2024",Tobias Raun,"Beløb
DKK 199,090",Nye danske maskuliniteter,"Institution
Roskilde University",095,Carlsberg Mindelegat
95,"År
2024",Flemming Splidsboel Hansen,"Beløb
DKK 112,000",De f*cker med vores hjerner,"Institution
Danish Institute for International Studies",096,Carlsberg Mindelegat
96,"År
2024",Anja Cetti Andersen,"Beløb
DKK 114,550",CHAMELEONx,"Institution
University of Copenhagen",097,Carlsberg Mindelegat
97,"År
2024",Mikkel Flohr,"Beløb
DKK 199,500",Tænk engang – en podcastserie om store politiske tænkere og idéer i historien,"Institution
Roskilde University",098,Carlsberg Mindelegat
98,"År
2024",Sne Scott Hansen,"Beløb
DKK 1,100,000",Decoding health data when you’re not sick,"Institution
Oxford University, Nuffield Department of Primary Care Health Sciences",099,Visiting Fellowships at University of Oxford
99,"År
2024",Jonas Thorup Thomsen,"Beløb
DKK 900,000",New Horizons: Reading Culture in the Media Revolution of the Late Enlightenment,"Institution
University of Oxford",100,Visiting Fellowships at University of Oxford
100,"År
2024",Sebastian Egholm Lund,"Beløb
DKK 1,000,000","Empire of the Sun: Imagining and Constructing Solar Energy in Colonial India, 1878-1915","Institution
University of Oxford",101,Visiting Fellowships at University of Oxford
101,"År
2024",Kasper Juel Petersen,"Beløb
DKK 1,000,000","Unveiling the dynamics of phase-changing, metastable, “noisy” liquids","Institution
University of Oxford",102,Visiting Fellowships at University of Oxford
102,"År
2024",Peter Uhd Jepsen,"Beløb
DKK 60,000",International Symposium on Microwave and Terahertz Science and Applications,"Institution
Technical University of Denmark",103,Conferences
103,"År
2024",Louise von Gersdorff Jørgensen,"Beløb
DKK 80,000",On the hunt for better welfare using an eRNA approach,"Institution
University of Copenhagen",104,"Field Trips / Research Stays < 100,000"
104,"År
2024",Andres Masegosa,"Beløb
DKK 80,000",Nordic Probabilistic AI School 2024,"Institution
Aalborg University",105,Conferences
105,"År
2024",David Kyed,"Beløb
DKK 76,000",NSeaG2024 Workshop: OdenSeaG,"Institution
University of Southern Denmark",106,Conferences
106,"År
2024",Elisenda Feliu,"Beløb
DKK 63,000",Conference Celebrating Women in Mathematical Sciences,"Institution
University of Copenhagen",107,Conferences
107,"År
2024",Sophie Wennerscheid,"Beløb
DKK 32,195",Female eco-rebels in contemporary Icelandic literature and film and the role of place attachment in environmental engagement,"Institution
University of Copenhagen",108,"Field Trips / Research Stays < 100,000"
108,"År
2024",Louise Ladefoged Poulsen,"Beløb
DKK 98,636",Early detection of epidemics in wildlife using deep learning,"Institution
University of Copenhagen",109,"Field Trips / Research Stays < 100,000"
109,"År
2024",Søren Hauberg,"Beløb
DKK 80,000",GenU: Generative Models and Uncertainty Quantification,"Institution
Technical University of Denmark",110,Conferences
110,"År
2024",Sara Louise Muhr,"Beløb
DKK 65,000","The Gender Conference, 2024","Institution
Copenhagen Business School",111,Conferences
111,"År
2024",Christoph Harig,"Beløb
DKK 79,548",Workshop ‘Politicization of the Military in Electoral Democracies’,"Institution
Forsvarsakademiet",112,Conferences
112,"År
2024",Stefanie Heine,"Beløb
DKK 80,000","Tangentiality: Passing Relations in the Arts, Literature, Music, and Performance","Institution
University of Copenhagen",113,Conferences
113,"År
2024",Kristian Schultz Hansen,"Beløb
DKK 80,000",International Conference on the Economics of the Working Environment,Institution,114,Conferences
114,"År
2024",René Rosfort,"Beløb
DKK 26,026",Kierkegaard Between Individuality and Sociality,"Institution
University of Copenhagen",115,Conferences
115,"År
2024",Evis Sinani,"Beløb
DKK 80,000",The MNE in Turbulent Times,"Institution
Copenhagen Business School",116,Conferences
116,"År
2024",Allan Westerling,"Beløb
DKK 68,730",Workshop: Welfare policies and the everyday life of families,"Institution
Roskilde University",117,Conferences
117,"År
2024",Argyro Nikiforou,"Beløb
DKK 78,000","International Research Workshop ""Inclusive or Exclusive? Diversity and Inclusion in Entrepreneurial Ecosystems Research""","Institution
Technical University of Denmark",118,Conferences
118,"År
2024",Christian Djurslev,"Beløb
DKK 79,962",Popular Receptions of Classical Antiquity,"Institution
Aarhus University",119,Publication
119,"År
2024",Eun Hye Kim,"Beløb
DKK 80,000",Empirical Legal Studies in EU Law Conference,"Institution
University of Copenhagen",120,Conferences
120,"År
2024",Klisala Harrison,"Beløb
DKK 62,353","Cultural Heritage of Qilaat in Thule, Greenland","Institution
Aarhus University",121,"Field Trips / Research Stays < 100,000"
121,"År
2024",Karsten Engsig Sørensen,"Beløb
DKK 79,925",Stakeholder engagement in European companies,"Institution
Aarhus University",122,Conferences
122,"År
2024",Rubina Raja,"Beløb
DKK 80,000","Portraying the individual in the Roman East: Local-Imperial Entanglements in Sculpture, Mosaics and Paintings (1st–4th centuries AD)","Institution
Aarhus University",123,Conferences
123,"År
2024",Torsten Bøgh Thomsen,"Beløb
DKK 68,500",Hans Christian Andersen as World Literature,"Institution
University of Southern Denmark",124,Conferences
124,"År
2024",Jakob Wagner,"Beløb
DKK 80,000",EMC 2024 – European Microscopy Congress 2024,"Institution
Technical University of Denmark",125,Conferences
125,"År
2024",Stefan Jänicke,"Beløb
DKK 79,872",EuroVis 2024,"Institution
University of Southern Denmark",126,Conferences
126,"År
2024",Catalin-Gabriel Stanescu,"Beløb
DKK 54,000",An Agency Issue? The Legal Nature of the Credit Servicing Agreement,"Institution
University of Southern Denmark",127,"Field Trips / Research Stays < 100,000"
127,"År
2024",Elisa Uusimäki,"Beløb
DKK 17,500",The 20th OTSEM Conference,"Institution
Aarhus University",128,Conferences
128,"År
2024",Caitlin McMullin,"Beløb
DKK 48,600",Co-production and Co-creation of Public Services Network 11th annual conference,"Institution
Aalborg University",129,Conferences
129,"År
2024",Love Christensen,"Beløb
DKK 60,000",Nordic Workshop on Political Behavior 2024,"Institution
Aarhus University",130,Conferences
130,"År
2024",Det Danske Institut i Rom,"Beløb
DKK 38,740",The Power of Marble. Materiality and Narratives in Italian Architecture from Revivalism to Rationalism,"Institution
The Danish Academy in Rome / Det Danske Institut i Rom",131,Conferences
131,"År
2024",Ingvild Bode,"Beløb
DKK 73,300",Emerging Scholars on Emerging Technologies in International Security,"Institution
University of Southern Denmark",132,Conferences
132,"År
2024",Ciara Kierans,"Beløb
DKK 79,940",Re-making the wetland: The interdisciplinary ground of sustainability.,"Institution
Aarhus University",133,Conferences
133,"År
2024",Carlsbergfondet,"Beløb
DKK 275,000",Postdoctoral Networking Day 22. March 2024,Institution,134,Activity Grants
134,"År
2024",Carlsbergfondet,"Beløb
DKK 600,000",Forskerlederkursus 2024,Institution,135,Activity Grants
135,"År
2024",Gunner Lind,"Beløb
DKK 53,500",Language edition prior to publication of monograph Weapons Law in Western Europe 1550-2020,"Institution
University of Copenhagen",136,Publication
136,"År
2024",Antonia Krummheuer,"Beløb
DKK 24,000",Cultural Aware Robots for Sustainable Shopping Interaction,"Institution
Aalborg University",137,"Field Trips / Research Stays < 100,000"
137,"År
2024",Harmandeep Kaur Gill,"Beløb
DKK 52,379","Waiting at the Mountain Pass: Coming to Terms with Solitude, Decline, and Death in Tibetan Exile","Institution
University of Oxford",138,Publication
138,"År
2024",Rubina Raja,"Beløb
DKK 97,500",Palmyrene Sculpture: A Corpus of Palmyrene Sculpture from the 1st to the late 3rd Century AD’,"Institution
Aarhus University",139,Publication
139,"År
2024",Uffe Gråe Jørgensen,"Beløb
DKK 80,000",Are we a unique species on a unique planet? - or just the ordinary Galactic standard?,"Institution
University of Copenhagen",140,Conferences
140,"År
2024",Helena Skyt Nielsen,"Beløb
DKK 55,600",16th Nordic Summer Institute in Labour Economics,"Institution
Aarhus University",141,Conferences
141,"År
2024",Stefan Hirth,"Beløb
DKK 66,000",Second Aarhus Workshop on Strategic Interaction in Corporate Finance,"Institution
Aarhus University",142,Conferences
142,"År
2024",Mikhail Suslov,"Beløb
DKK 51,860","Russian Regime Ideology: Concepts, Historical Parallels, International and Domestic Resonances of Putinism","Institution
University of Copenhagen",143,Conferences
143,"År
2024",Veronika Fikfak,"Beløb
DKK 80,000",The Conception of Remedies in Human Rights Law,"Institution
University of Copenhagen",144,Conferences
144,"År
2024",Vera Rocha,"Beløb
DKK 79,930",8th Linked Employer-Employee Data (LEED) Workshop,"Institution
Copenhagen Business School",145,Conferences
145,"År
2024",Rachele Pierini,"Beløb
DKK 80,000",Branch out. Rethinking the branching order of the Indo-European language family through the diachronic morphophonology of the o-stem genitive singular ending,"Institution
University of Copenhagen",146,Conferences
146,"År
2024",Christina Annette Gravert,"Beløb
DKK 80,000",Nordic Conference in Behavioral and Experimental Economics,"Institution
University of Copenhagen",147,Conferences
147,"År
2024",Ralf Zimmermann,"Beløb
DKK 67,750",NNLA 2024 workshop,"Institution
University of Southern Denmark",148,Conferences
148,"År
2024",Kasper Støy,"Beløb
DKK 74,000",The International Conference on Artificial Life 2024,"Institution
IT University of Denmark",149,Conferences
149,"År
2024",Soren Riis Paludan,"Beløb
DKK 77,000",2024 Host-Pathogen Communication (HPC) Conference,"Institution
Aarhus University",150,Conferences
150,"År
2024",Rosa Laura López Marqués,"Beløb
DKK 79,200",Crop improvement in the gene-editing era,"Institution
University of Copenhagen",151,Conferences
151,"År
2024",Arne Redsted Rasmussen,"Beløb
DKK 67,500",The description of new sea snake species and developing an identification key for sea snakes worldwide.,"Institution
Det Kongelige Akademi",152,"Field Trips / Research Stays < 100,000"
152,"År
2024",Mikel Venhovens,"Beløb
DKK 74,968",Workshop Infrastructural Anxieties Special Issue,"Institution
Aarhus University",153,Conferences
153,"År
2024",Troels Myrup Kristensen,"Beløb
DKK 76,280",Digital Archaeologies of Classical Sculpture: An International Workshop,"Institution
Aarhus University",154,Conferences
154,"År
2023",Gitte Balling,"Beløb
DKK 76,932","Researching the Reading Experience in the Digital Age: From Print, to the Bookternet and Back Again","Institution
University of Copenhagen",155,Conferences
155,"År
2023",Maj Hansen,"Beløb
DKK 33,000",Service provision for survivors of sexual assault: A US-DK research collaboration,"Institution
University of Southern Denmark",156,"Field Trips / Research Stays < 100,000"
156,"År
2023",Jesper Carlsen,"Beløb
DKK 59,129",Roman Carthage: A Reappraisal,"Institution
University of Southern Denmark",157,Publication
157,"År
2023",Marcus Thomas Pius Gilbert,"Beløb
DKK 72,000",Proposal for a Symposium on Ancient RNA,"Institution
University of Copenhagen",158,Conferences
158,"År
2023",Camilla S. Andresen,"Beløb
DKK 75,000","Unraveling ice sheet, ocean, and ecosystem dynamics in Southeast Greenland","Institution
Geological Survey of Denmark and Greenland",159,"Field Trips / Research Stays < 100,000"
159,"År
2023",Felicia Fricke,"Beløb
DKK 71,078",The Future of Ethics in Caribbean Archaeology,"Institution
University of Copenhagen",160,Conferences
160,"År
2023",Jan Stuckatz,"Beløb
DKK 80,000",CBS-Princeton Money in Politics Conference 2024,"Institution
Copenhagen Business School",161,Conferences
161,"År
2023",Pernille Harris,"Beløb
DKK 79,600","International Symposium to celebrate the 70th birthday of Nobel Laureate in chemistry 2022, Morten Meldal","Institution
University of Copenhagen",162,Conferences
162,"År
2023",Andreas Schramm,"Beløb
DKK 61,173",Greenhouse gas emissions from coastal ecosystems: The role of cable bacteria and plant-microbe interactions,"Institution
Aarhus University",163,"Field Trips / Research Stays < 100,000"
163,"År
2023",Marco Carbone,"Beløb
DKK 87,000",Safer AI with Probabilistic Session Types (SAPienT),"Institution
IT University of Denmark",164,"Field Trips / Research Stays < 100,000"
164,"År
2023",Christine McKenzie,"Beløb
DKK 80,000",Contemporary Coordination Chemistry (CCC),"Institution
University of Southern Denmark",165,Conferences
165,"År
2023",Rune Olsen,"Beløb
DKK 77,000",Working Titles – Understanding the use of official titles during the New Kingdom,"Institution
University of Copenhagen",166,Conferences
